station_id,first_seen,last_seen,active_days,rent_events,ret_events,name,lat,lon,gu,dong,addr,span_days,activity_ratio,total_events,in_current_list,station_type
ST0607,2024-08-01,2026-03-31,438,1132,799,용운동 e편한세상 에코포레(114동),36.326977,127.464886,동구,용운동,대전광역시 동구 용운동 783,608,0.7204,1931,True,ACTIVE
ST0346,2024-08-01,2026-03-31,445,970,953,갈마동 큰마을아파트 112동 건너편,36.34386,127.374519,서구,갈마동,대전광역시 서구 갈마동 1214,608,0.7319,1923,True,ACTIVE
ST0023,2024-08-04,2026-03-31,399,987,923,덕명동 한밭대학교 남문,36.347541,127.301356,유성구,덕명동,대전광역시 유성구 덕명동 601-1,605,0.6595,1910,True,ACTIVE
ST1141,2024-08-02,2026-03-31,410,980,928,상대동 대전시립박물관2,36.336726,127.334744,유성구,상대동,대전광역시 유성구 상대동 488,607,0.6755,1908,True,ACTIVE
ST0636,2024-08-01,2026-03-30,435,954,951,인동네거리 일육우드,36.321705,127.438225,동구,인동,대전광역시 동구 인동 113-2,607,0.7166,1905,True,ACTIVE
ST0812,2024-08-01,2026-03-31,426,949,955,관저동 진잠네거리 관저더샵아파트 방면,36.298122,127.324051,서구,관저동,대전광역시 서구 관저동 1955,608,0.7007,1904,True,ACTIVE
ST1510,2025-10-23,2026-03-31,128,944,952,태평동 버드내마을1단지 119동 앞,36.317428,127.386364,중구,태평동,대전광역시 중구 태평동 510-164,160,0.8,1896,True,ACTIVE
ST1223,2024-08-01,2026-03-31,438,920,972,정림동 성균관숲유치원,36.290037,127.361188,서구,정림동,대전광역시 서구 정림동 91-2,608,0.7204,1892,True,ACTIVE
ST0784,2024-08-01,2026-03-31,462,948,943,도안동 계룡리슈빌 1703동 건너편,36.315809,127.345318,서구,도안동,대전광역시 서구 도안동 1307,608,0.7599,1891,True,ACTIVE
ST0473,2024-08-07,2026-03-31,477,954,910,자운동 농부의갈비,36.39545,127.35205,유성구,자운동,대전광역시 유성구 자운동 572,602,0.7924,1864,True,ACTIVE
ST1470,2025-10-22,2026-03-31,135,928,935,둔산동 수정타운아파트 7동,36.360716,127.396623,서구,둔산동,대전광역시 서구 둔산동 1524,161,0.8385,1863,True,ACTIVE
ST0841,2024-08-01,2026-03-30,426,996,861,중리동(하나로병원),36.36327,127.431282,대덕구,중리동,대전광역시 대덕구 중리동 107-4,607,0.7018,1857,False,ACTIVE
ST0559,2024-08-01,2026-03-31,441,927,928,변동 시온성교회,36.328332,127.370318,서구,변동,대전광역시 서구 변동 252-116,608,0.7253,1855,True,ACTIVE
ST1162,2024-08-01,2026-03-31,448,907,942,오정동 374-2,36.352644,127.414367,대덕구,오정동,대전광역시 대덕구 오정동 374-2,608,0.7368,1849,True,ACTIVE
ST0593,2024-11-03,2026-03-31,383,925,924,낭월동 향기나무어린이집 공원,36.279332,127.466792,동구,낭월동,대전광역시 동구 낭월동 574,514,0.7451,1849,True,ACTIVE
ST1186,2024-08-01,2026-03-30,368,953,889,둔곡동 서한이다음(204동),36.451911,127.362022,유성구,둔곡동,대전광역시 유성구 둔곡동 512,607,0.6063,1842,True,ACTIVE
